ogc_fid,dn,id,forest_gro,ecoregion_
1270867,"700","36",Elm/Ash/Cottonwood Group,East Central Texas Plains
765,"400","10",Oak/Pine Group,Edwards Plateau
1812815,"200","56",Douglas-fir Group,Northwestern Great Plains
1157040,"140","30",Longleaf/Slash Pine Group,Mississippi Valley Loess Plains
1772708,"800","54",Maple/Beech/Birch Group,Cross Timbers
3284635,"950","85",Other Western Hardwoods Group,Sonoran Basin and Range
981044,"120","21",Spruce/Fir Group,Southeastern Wisconsin Till Plains
2794977,"260","72",Fir/Spruce/Mountain Hemlock Group,Middle Rockies
2899022,"380","73",Exotic Softwoods Group,North Central Appalachians
378408,"910","19",Alder/Maple Group,Central California Foothills and Coastal Mountains
2697751,"370","6",California Mixed Conifer Group,Northern Basin and Range
3259349,"920","81",Western Oak Group,North Cascades
3072106,"700","79",Elm/Ash/Cottonwood Group,South Central Plains
1167375,"180","31",Pinyon/Juniper Group,Arkansas Valley
1752552,"900","52",Aspen/Birch Group,Klamath Mountains/California High North Coast Range
1825028,"920","56",Western Oak Group,Northwestern Great Plains
1609925,"400","49",Oak/Pine Group,Western Gulf Coastal Plain
1105216,"500","29",Oak/Hickory Group,Southwestern Tablelands
1559614,"800","48",Maple/Beech/Birch Group,Acadian Plains and Hills
241782,"900","17",Aspen/Birch Group,Ridge and Valley
1261131,"700","35",Elm/Ash/Cottonwood Group,Columbia Plateau
2763611,"600","71",Oak/Gum/Cypress Group,Ouachita Mountains
1187208,"200","32",Douglas-fir Group,Central Basin and Range
2670965,"220","69",Ponderosa Pine Group,Eastern Cascades Slopes and Foothills
1292476,"500","37",Oak/Hickory Group,Mississippi Alluvial Plain
1373482,"120","39",Spruce/Fir Group,Central Appalachians
1989267,"100","5",White/Red/Jack Pine Group,Northern Lakes and Forests
97555,"220","14",Ponderosa Pine Group,Colorado Plateaus
2738564,"920","70",Western Oak Group,Blue Mountains
378216,"920","19",Western Oak Group,Central California Foothills and Coastal Mountains
2573100,"900","68",Aspen/Birch Group,Southern Rockies
3016580,"800","78",Maple/Beech/Birch Group,Northeastern Coastal Zone
1292514,"600","37",Oak/Gum/Cypress Group,Mississippi Alluvial Plain
1280002,"990","36",Exotic Hardwoods Group,East Central Texas Plains
55624,"400","12",Oak/Pine Group,Blue Ridge
378234,"220","19",Ponderosa Pine Group,Central California Foothills and Coastal Mountains
2814403,"950","72",Other Western Hardwoods Group,Middle Rockies
1539147,"920","47",Western Oak Group,Arizona/New Mexico Plateau
1771582,"950","53",Other Western Hardwoods Group,Snake River Plain
96239,"180","13",Pinyon/Juniper Group,Canadian Rockies
2407612,"380","65",Exotic Softwoods Group,Western Allegheny Plateau
2697897,"280","6",Lodgepole Pine Group,Northern Basin and Range
1101908,"800","28",Maple/Beech/Birch Group,Nebraska Sand Hills
2264956,"950","62",Other Western Hardwoods Group,Puget Lowland
3298689,"100","8",White/Red/Jack Pine Group,Piedmont
1539094,"220","47",Ponderosa Pine Group,Arizona/New Mexico Plateau
1706937,"220","51",Ponderosa Pine Group,Driftless Area
97559,"180","14",Pinyon/Juniper Group,Colorado Plateaus
1126471,"800","30",Maple/Beech/Birch Group,Mississippi Valley Loess Plains
1384895,"920","3",Western Oak Group,Arizona/New Mexico Mountains
2214549,"400","60",Oak/Pine Group,Northern Allegheny Plateau
97606,"260","14",Fir/Spruce/Mountain Hemlock Group,Colorado Plateaus
3284746,"370","85",California Mixed Conifer Group,Sonoran Basin and Range
1539275,"700","47",Elm/Ash/Cottonwood Group,Arizona/New Mexico Plateau
2304934,"340","63",Redwood Group,Coast Range
2718989,"280","70",Lodgepole Pine Group,Blue Mountains
1535401,"280","46",Lodgepole Pine Group,Northwestern Glaciated Plains
3016632,"900","78",Aspen/Birch Group,Northeastern Coastal Zone
3234793,"500","80",Oak/Hickory Group,Flint Hills
981084,"500","21",Oak/Hickory Group,Southeastern Wisconsin Till Plains
2671192,"360","69",Other Western Softwood Group,Eastern Cascades Slopes and Foothills
378253,"180","19",Pinyon/Juniper Group,Central California Foothills and Coastal Mountains
2573150,"950","68",Other Western Hardwoods Group,Southern Rockies
2674823,"910","69",Alder/Maple Group,Eastern Cascades Slopes and Foothills
3505207,"280","9",Lodgepole Pine Group,Wyoming Basin
1250238,"100","34",White/Red/Jack Pine Group,Northern Minnesota Wetlands
1872399,"370","58",California Mixed Conifer Group,Sierra Nevada
2573077,"920","68",Western Oak Group,Southern Rockies
1535370,"200","46",Douglas-fir Group,Northwestern Glaciated Plains
3244664,"900","81",Aspen/Birch Group,North Cascades
965553,"180","20",Pinyon/Juniper Group,Southwestern Appalachians
1807732,"940","55",Tanoak/Laurel Group,Willamette Valley
1546260,"950","47",Other Western Hardwoods Group,Arizona/New Mexico Plateau
1930368,"500","59",Oak/Hickory Group,Northeastern Highlands
1434020,"700","41",Elm/Ash/Cottonwood Group,Interior Plateau
2407439,"100","65",White/Red/Jack Pine Group,Western Allegheny Plateau
3287788,"220","85",Ponderosa Pine Group,Sonoran Basin and Range
992895,"160","22",Loblolly/Shortleaf Pine Group,Texas Blackland Prairies
1500358,"920","42",Western Oak Group,Southern Texas Plains
1829251,"400","56",Oak/Pine Group,Northwestern Great Plains
2909635,"600","74",Oak/Gum/Cypress Group,Southern Florida Coastal Plain
1609922,"160","49",Loblolly/Shortleaf Pine Group,Western Gulf Coastal Plain
390563,"990","19",Exotic Hardwoods Group,Central California Foothills and Coastal Mountains
3245440,"700","81",Elm/Ash/Cottonwood Group,North Cascades
1034748,"180","24",Pinyon/Juniper Group,Interior River Valleys and Hills
12,"160","10",Loblolly/Shortleaf Pine Group,Edwards Plateau
2674764,"920","69",Western Oak Group,Eastern Cascades Slopes and Foothills
3294892,"500","8",Oak/Hickory Group,Piedmont
1187174,"180","32",Pinyon/Juniper Group,Central Basin and Range
2237442,"800","61",Maple/Beech/Birch Group,Eastern Great Lakes Lowlands
1746471,"180","52",Pinyon/Juniper Group,Klamath Mountains/California High North Coast Range
1775037,"920","54",Western Oak Group,Cross Timbers
3273974,"260","84",Fir/Spruce/Mountain Hemlock Group,Madrean Archipelago
1117004,"500","2",Oak/Hickory Group,High Plains
2504243,"980","66",Tropical Hardwoods Group,Southern Coastal Plain
1025099,"800","24",Maple/Beech/Birch Group,Interior River Valleys and Hills
1105770,"400","29",Oak/Pine Group,Southwestern Tablelands
241177,"800","17",Maple/Beech/Birch Group,Ridge and Valley
982826,"380","21",Exotic Softwoods Group,Southeastern Wisconsin Till Plains
97590,"900","14",Aspen/Birch Group,Colorado Plateaus
2245076,"180","61",Pinyon/Juniper Group,Eastern Great Lakes Lowlands
1737561,"950","52",Other Western Hardwoods Group,Klamath Mountains/California High North Coast Range
2901731,"120","73",Spruce/Fir Group,North Central Appalachians
2214292,"900","60",Aspen/Birch Group,Northern Allegheny Plateau
1433795,"500","41",Oak/Hickory Group,Interior Plateau
1878358,"900","58",Aspen/Birch Group,Sierra Nevada
1770872,"200","53",Douglas-fir Group,Snake River Plain
1,"600","10",Oak/Gum/Cypress Group,Edwards Plateau
2266691,"900","62",Aspen/Birch Group,Puget Lowland
3023919,"380","78",Exotic Softwoods Group,Northeastern Coastal Zone
1422344,"100","40",White/Red/Jack Pine Group,Atlantic Coastal Pine Barrens
3005113,"400","77",Oak/Pine Group,Northern Piedmont
1079682,"120","25",Spruce/Fir Group,Central Corn Belt Plains
1701128,"120","51",Spruce/Fir Group,Driftless Area
1001189,"500","23",Oak/Hickory Group,Erie Drift Plain
2803748,"180","72",Pinyon/Juniper Group,Middle Rockies
3272247,"220","84",Ponderosa Pine Group,Madrean Archipelago
1831623,"180","57",Pinyon/Juniper Group,Central Great Plains
2278556,"260","63",Fir/Spruce/Mountain Hemlock Group,Coast Range
2572896,"700","67",Elm/Ash/Cottonwood Group,Chihuahuan Deserts
3300925,"180","8",Pinyon/Juniper Group,Piedmont
2670961,"260","69",Fir/Spruce/Mountain Hemlock Group,Eastern Cascades Slopes and Foothills
1883030,"340","58",Redwood Group,Sierra Nevada
1831612,"800","57",Maple/Beech/Birch Group,Central Great Plains
383449,"340","19",Redwood Group,Central California Foothills and Coastal Mountains
1513875,"940","43",Tanoak/Laurel Group,Cascades
3505202,"220","9",Ponderosa Pine Group,Wyoming Basin
2878979,"400","72",Oak/Pine Group,Middle Rockies
1701755,"400","51",Oak/Pine Group,Driftless Area
1609379,"160","48",Loblolly/Shortleaf Pine Group,Acadian Plains and Hills
2214244,"100","60",White/Red/Jack Pine Group,Northern Allegheny Plateau
298400,"800","18",Maple/Beech/Birch Group,North Central Hardwood Forests
1806810,"200","55",Douglas-fir Group,Willamette Valley
1530338,"940","44",Tanoak/Laurel Group,Southern California Mountains
